English,Latin_Lemma
to move like a wheel; whirl about,roto
to stab,confodio
to dwell near or by,accolo
Numa,Numa
very much,nimis
winged,pennatus
"announcing, that which makes known",nuntius
hastening,festinus
to be numb,torpeo
Actor,Actor
to give light through; to open,interluceo
"missile, projectile; (pl.) gifts thrown to a crowd",missile
Calliope,Calliope
"to assault, capture",expugno
to consume,adedo
to dig through; run through,transfodio
Helenor,Helenor
Licymnia,Licymnia
without glory,inglorius
pleasantness,lepor
fracture; piece broken off,fragmen
Lucetius,Lucetius
Emathion,Emathion
Liger,Liger
Asilas,Asilas
Ortygius (name),Ortygius
Itys,Itys
Clonius,Clonius
Dioxippus,Dioxippus
Promolus,Promolus
Idas,Idas
Privernus,Privernus
Themillas,Themillas
means of breathing; of the lungs,spiramentum
Arcens,Arcens
"hairpin, needle",acus
iron rust; the color of iron rust; dusky or brown tint,ferrugo
Iberian of Spain; (as subst.) an Iberian of the Caucusus,Hiberus
of Symaethum (river),Symaethius
Palici,Palici
sling,funda
to cleave asunder; split,diffindo
swift in flight,fugax
Numanus,Numanus
one who molds,fictor
to be awake,invigilo
to weaken,debilito
to bring together,comporto
saffron; saffron color,crocum
"idleness, inactivity",desidia
something bound round; a chaplet,redimiculum
Dindyma,Dindyma
having two doors or openings,biforis
the larger of the shinbones; a pipe or flute,tibia
drum,tympanum
pertaining to horses,equinus
"only used in nom. and vocat., honored",mactus
"rightly, justly",iure
a son of Aeneus or Aeneas,Aenides
thong attached to the shaft of javelin or other missile,amentum
striking,flictus
causing rain,pluvialis
"""The Kids"" (constellation)",haedus
penalty,multa
Alcanor,Alcanor
Iaera,Iaera
the river Po,Padus
Athesis,Athesis
Quercens,Quercens
Aquicolus,Aquicolus
Tmarus,Tmarus
Haemon,Haemon
the same place; to the same place,eodem
to supply,praebeo
to call together; incite,concieo
Antiphates,Antiphates
Theban; of or from Thebes,Thebanus
cornel cherry tree; spear shaft; lance or javelin,cornus
the gullet; chest,stomachus
lung; lungs,pulmo
to grow warm,tepesco
Merops,Merops
Erymas,Erymas
Aphidnus,Aphidnus
"largely, loudly",magnum
heavy spear wound with combustibles; fiery dart,phalarica
faithful,fidelis
Baiae,Baiae
pier; mole,pila
to pile together,construo
Prochyta (island),Prochyta
Inarime (island),Inarime
warrior,bellator
"to shut out, exclude; leave uncovered",excludo
uncultivated,rudis
Phaleris,Phaleris
the hinder part of the knee; hamstring,poples
Gyges,Gyges
to carry; heap on; obtrude; say over and over,ingero
Halys,Halys
Alcander,Alcander
Halius,Halius
Noemon,Noemon
Prytanis,Prytanis
Lynceus (name),Lynceus
sword,gladius
ravager,vastator
Clytius,Clytius
Cretheus,Cretheus
unhastened,improperatus
jingling,tinnitus
to shake off,discutio
to breathe again; to breathe,respiro
that which is forbidden; a prohibition,vetitum
the Alps,Alpes
to overflow,inundo
Aetolian,Aetolus
Arpi (town),Arpi
fault,peccatum
untried,intentatus
"certainly, truly",sane
Amathus (name),Amathus
Venilia,Venilia
one contracted for; a bride,pacta
to stretch before; draw,obtendo
flowing away; perishing,fluxus
adulterer,adulter
"altercation, quarrel",iurgium
to become silent,silesco
thing begun or undertaken; enterprise,exorsum
Asius,Asius
Imbrasides,Imbrasides
of Hicetaeon,Hicetaonius
Castor (name),Castor
Thymbris,Thymbris
Clarus,Clarus
Thaemon,Thaemon
of Lyrnesus; Lyrnesian,Lyrnesius
Acmon,Acmon
Mnestheus (name),Menestheus
"honorable, decent",honestus
of Oricus or Oricum,Oricius
the turpentine tree; a kind of ebony,terebinthus
Ismarus,Ismarus
reed or cane; an arrow,calamus
" of noble birth, noble; eminent",generosus
Pactolus,Pactolus
of Campania,Campanus
Clusium,Clusium
Cosa,Cosa
quiver,gorytus
600; 600th,sescenti
Populonia,Populonia
Ilva (island),Ilva
"300, 300th",trecenti
unexhausted,inexhaustus
prophetic,praesagus
of the Alpheus (river); Alphean,Alpheus
Pisae (town),Pisae
Astur,Astur
of various colors,versicolor
of Caere,Caeres
Minio,Minio
Pyrgi (place),Pyrgi
Graviscae,Graviscae
Ligurian,Ligus
Cinyrus,Cinyrus
Cupavo,Cupavo
of the swan,olorinus
Cycnus,Cycnus
to move forward; push forward,promoveo
Ocnus,Ocnus
Manto,Manto
Mantua (town),Mantua
4 each,quaterni
500; 500th,quingenti
Benacus,Benacus
Mincius,Mincius
Aulestes,Aulestes
"shaggy, hairy",hispidus
to murmur,murmuro
help,subsidium
nightly,noctivagus
Phoebe,Phoebe
Cybele (goddess),Cybele
to stand out,emineo
"to row lightly, paddle",subremigo
to repair,reficio
Strymonian; of the Strymon (river),Strymonius
a crane,grus
a comet,cometes
mournfully,lugubre
of the dog–star; Sirian,Sirius
to make sad,contristo
to break,perfringo
to trust,concredo
to be faint,langueo
to give back a murmur; resound,remurmuro
unhindered,inoffensus
dry ground,siccum
to strike,infligo
to support,sustento
to slip back; retreat,relabor
"to knock down, kill",occido
Theron,Theron
to sew,suo
Lichas,Lichas
to cut out,exseco
club,clava
Melampus,Melampus
Pharon,Pharon
"soft hair, down",lanugo
Cydon,Cydon
pressing on,stipatus
partly,partim
to turn aside,deflecto
to beat or strike through; pierce through,transverbero
Maeon,Maeon
"course, direction",tenor
thigh,femur
to bind tightly; graze,perstringo
"hard, rigid, strict",rigidus
Dryops,Dryops
from afar,eminus
Ismara (town),Ismara
growth of trees; grove; thicket,arbustum
to overthrow,diruo
"pedestrian, unmounted",pedester
nature,natura
Lagus,Lagus
to take back or out; recover,recepto
Hisbo,Hisbo
comrade,sodalis
Sthenius,Sthenius
Anchemolus,Anchemolus
of Daucus,Daucius
Larides,Larides
Thymber,Thymber
unseparated,indiscretus
of Evander; Evandrian,Evandrius
to cut,decido
yoked two together,biiugis
Rhoeteus,Rhoeteus
to catch a thing passing along; intercept,intercipio
Teuthras,Teuthras
Tyres,Tyres
Ladon,Ladon
Pheres,Pheres
Demodocus,Demodocus
Strymonius,Strymonius
the joining part; the throat,iugulum
hurled,missilis
Imaon,Imaon
unarmed,inermus
to terrify,perterreo
to destroy,interimo
undestroyed,imperditus
to make compact,addenseo
to be discordant in sound; (fig.),discrepo
beholder,spectator
going away,abscessus
savage,trux
to leap or spring down; alight from,desilio
to fly to,advolo
"near, within reach",contiguus
irrecoverable,inreparabilis
piercing,penetrabilis
to bore or pierce through,perforo
to fall completely; fall down,corruo
to stand at,adsisto
to give largely; bestow,largior
Clonus,Clonus
Eurytides,Eurytides
to bring up educate,educo
to sprinkle the sacred meal upon the victim; to immolate,immolo
Magus,Magus
cunning; abl. astu,astus
quivering,tremebundus
to fly over or above,supervolo
to dig down,defodio
trade; negotiation,commercium
Haemonides,Haemonides
to stand over,supersto
memorial of the turning,tropaeum
Anxur,Anxur
perhaps,fortasse
Tarquitus,Tarquitus
an inhabitant of the woods,silvicola
Dryope,Dryope
to roll forward or along,provolvo
there,istic
fish,piscis
Antaeus,Antaeus
Lucas,Lucas
of Camerinum (town),Camers
Ausonides,Ausonides
Amyclae,Amyclae
Aegaean,Aegaeon
to become warm,intepeo
Niphaeus,Niphaeus
four–yoked,quadriiugis
Lucagus,Lucagus
fury,fervor
the groin,inguen
to leap,salio
Daunus,Daunus
"present, immediate",instans
weeping,adlacrimans
words,orsa
to make like; to counterfeit,adsimulo
base; mound,crepido
of Clusium,Clusinus
Osinius,Osinius
to leap over; pass over,transilio
"loftily, on high",sublime
"shame, disgrace",dedecus
Dolichaon,Dolichaon
Latagus,Latagus
Palmus,Palmus
Euanthes,Euanthes
Mimas,Mimas
Theano,Theano
Vesulus,Vesulus
reedy,harundineus
to bellow; rage,infremo
to grow angry,irascor
to shake off,decutio
Acron,Acron
a kind of wild goat,caprea
to make bloody,cruento
Orodes,Orodes
to throw down/away,abicio
Alcathous,Alcathous
Sacrator,Sacrator
Hydaspes,Hydaspes
Parthenius,Parthenius
Rapo,Rapo
very hard,praedurus
Orses,Orses
of Lycaonia (region); of or descended from Lycaon,Lycaonius
Ericetes,Ericetes
Agis,Agis
Valerus,Valerus
Thronius,Thronius
Nealces,Nealces
undaunted,imperterritus
to vow,voveo
Antores,Antores
to call to mind; recall,reminiscor
worthy of mention; famed,memorandus
to bind on; attach to; impede,inligo
ploughman,arator
to it is raining,pluit
to thunder loudly,detono
to spin; weave,neo
that which is bred within; natural disposition; genius,indoles
to lift from beneath; uplift,sublevo
to make indecent; to soil,turpo
hair,capillus
leaning on or against,acclinis
hanging down,propexus
to disfigure,deformo
Rhaebus,Rhaebus
to accustom; to be accustomed to,consuesco
"rough, hairy",hirsutus
to be a horseman; to ride,equito
with head or face prone downward,cernuus
having a common lot,consors
powerful in war,bellipotens
to dig or pierce through,perfodio
the first fruits; first offerings,primitiae
to take beforehand; anticipate,praesumo
Acoetes,Acoetes
equally,aeque
that one should be ashamed of; shameful,pudendus
protection,praesidium
"to be between, be present",intersum
of the arbutus (strawberry-tree),arbuteus
oaken,quernus
spreading over; covering,obtentus
to cast a shade upon; overshadow; shade,inumbro
something spread out; a couch,stramen
to reap; cut off,demeto
"thumb, big toe",pollex
violet,viola
hyacinth,hyacinthus
to cover up,obnubo
Aethon,Aethon
an olive,olea
"to slight, repel, refuse",aspernor
"to finish, limit",finio
Drances,Drances
one with whom something is placed in trust; sequestra pace,sequester
two–winged; two–edged,bipennis
an ash tree,fraxinus
cart,plaustrum
"foreboding, of omen",praenuntius
to separate; to make distinct,discrimino
to beat,plango
"cautious, careful, prudent",cautus
very sweet,perdulcis
beginning; first lesson,rudimentum
"surviving, remaining alive after death",superstes
untimely,immaturus
to cut the throat; slay,iugulo
the mound where the dead have been burned; funeral pile,bustum
to turn over; invert,inverto
to dig in; bury,infodio
"wealthy, opulent",praedives
bereft,orbus
to make heavy; aggravate,ingravo
to overshadow; darken,obumbro
outlay,impensa
Argyripa,Argyripa
Garganus,Garganus
to draw or bring to,attraho
Caphereus,Caphareus
Proteus (name),Proteus
quite to,ad usque
to be in exile,exsulo
of Mycenae; Mycenaean,Mycenaeus
dreadful,horribilis
tearful,lacrimosus
"to make for, grasp",appeto
Greece,Graecia
to beware,caveo
roaring,fremor
to address first,praefor
to sit by; to watch over; resemble,assideo
troublesome,importunus
"to adopt, to ally, to call to aid",adscisco
material,materies
seat; chair; chair of state,sella
"vain, weak",futilis
fame,nobilitas
to speak low; mutter,musso
violence,violentia
inviolable,inviolabilis
to make solitary,desolo
cheap,vilis
unlamented,infletus
to hold at bay,distineo
just as,proinde
eloquence,eloquium
deservedly,merito
Adriatic,Hadriacus
Aufidus,Aufidus
to embitter,acerbo
going back; (fig.),regressus
to bite,mordeo
solid ground,solidum
Tolumnius,Tolumnius
good thing; good; blessing,bonum
disagreement,dissensus
Padusa,Padusa
"talkative, chirping",loquax
Volusus,Volusus
"an infantry unit, a company",manipulus
to dig before or in front of,praefodio
matron,matrona
to send out steam; to fumigate; perfume,vaporo
protector,praeses
mare,equa
to be luxuriant,luxurio
scout,explorator
hollow,convexus
breaking round; the winding of way in and out,anfractus
fit,accommodus
level surface,planities
"retraction, recantation",receptus
Opis,Opis
Latonia,Latonia
sweetness; delight,dulcedo
Privernum (town),Privernum
Metabus,Metabus
Casmilla,Casmilla
"overflowing, full",abundans
book,liber
to tie or bind round or to,circumligo
fierceness,feritas
of the herd,armentalis
to milk into,immulgeo
lip,labrum
swan,olor
virginity,virginitas
"not despoiled, upon",inspoliatus
precisely,numero
cast; leap; shot; reach,iactus
to weave over; cover,obtexo
Tyrrhenus,Tyrrhenus
Aconteus,Aconteus
to throw above or over; overcast,superiacio
to suck back,resorbeo
Orsilochus,Orsilochus
"impatient (+gen.), unable to tolerate",impatiens
"shin, leg",crus
Iollas,Iollas
Herminius,Herminius
Amazon,Amazon
wearing a quiver,pharetratus
unwearied,indefessus
Larina,Larina
Tulla,Tulla
Tarpeia,Tarpeia
Italian women or nymphs,Italides
"servant, attendant",ministra
Thermodon,Thermodon
Hippolyte,Hippolyte
Euneus,Euneus
Liris,Liris
Pagasus,Pagasus
Amastrus,Amastrus
Hippotades,Hippotades
Tereus (name),Tereus
Harpalycus,Harpalycus
Demophoon,Demophoon
Chromis,Chromis
Ornytus,Ornytus
huntsman,venator
fighter; adjectively,pugnator
rustic weapon having an iron head with projecting hook or blade,sparus
"of or belonging to a woman, female, feminine",muliebris
to disprove,redarguo
to mock,eludo
to redouble,congemino
Appenninicola,Appenninicola
Aunus,Aunus
to fly away,avolo
hawk,accipiter
to disembowel,eviscero
want of spirit,ignavia
"facing, opposite, against, opposed (to) (adv. and prep. + acc.)",adversus
to break off,defringo
to fight against,repugno
eagle,aquila
full of windings; sinuous,sinuosus
"sample, example",exemplum
Maeonidae,Maeonidae
Arruns,Arruns
to go around,circumeo
"by whatever way, wherever",quacumque
Chloreus,Chloreus
foreign,peregrinus
of Gortyna (town); Gortynian; Cretan,Gortynius
a metal helmet,cassis
of linen,carbaseus
"nipple, breast",papilla
to stroke back; fondle; hide,remulceo
Acca,Acca
"to beat, maltreat",mulco
Dercennus,Dercennus
Atinas,Atinas
"going on four feet, galloping",quadrupedus
to strike; to stumble; dash,arieto
to surround with a rampart; to encamp around,vallo
unappeasable,implacabilis
robber,latro
to grow,glisco
one who has deserted; a renegade,desertor
composed,sedatus
to be warm or hot,recaleo
to be white,albeo
"to ally, receive",adscio
to repel; disprove,refuto
"by no means whatever, not at all",haudquaquam
to become sick,aegresco
to heal,medeor
within one's power (+ acc.),penes
"to influence, bend, tilt",inclino
redness,rubor
to make hot,calefacio
rose,rosa
Idmon,Idmon
Orithyia,Orithyia
to go before; surpass,anteeo
mountain copper; brass,orichalcum
calling; summons,vocatus
the myrrh tree; gum of the myrrh tree; myrrh,murra
to play or practice beforehand; prepare for,proludo
"high, exalted",elatus
to measure,dimetior
flax or hemp,linum
laurel,verbena
armed with the javelin,pilatus
to recline; rest,reclino
Juturna,Iuturna
to pour forth; pour,profundo
pertaining to a four–horse team,quadriiugus
means of seeing or knowing; token,specimen
shrine,sacrarium
to consecrate,sancio
to cut away; reduce,recido
surpassing; beautiful,excellens
to conceal,obscuro
hissing,stridulus
Gylippus,Gylippus
"courageous, bold",animosus
to furnish with a bridle; to rein,infreno
to frighten forth or away; put to flight,proterreo
of beams,trabalis
an animal offered in sacrifice; a victim,victima
to burn round,amburo
Ebusus,Ebusus
vapor,nidor
Podalirius,Podalirius
Alsus,Alsus
to overhang,superimmineo
sudden,repens
to rub before; trample upon or down,protero
Thrace,Thraca
wretchedly,miserabile
to put under the heel; trample upon; mix by trampling,calco
Thamyrus,Thamyrus
Lades,Lades
Imbrasus,Imbrasus
Eumedes,Eumedes
Dolon,Dolon
"courier, spy",speculator
"to affect, visit with",afficio
void space,inane
to come over or come unexpectedly,supervenio
"to twist out, wrench away",extorqueo
to measure,metior
Asbytes,Asbytes
Sybaris,Sybaris
"plunging, throwing a rider",sternax
Edonic,Edonus
swiftly driven or swiftly running,citatus
lance,lancea
double–plaited,bilix
to taste of; touch,degusto
running forward,procursus
"healing, medical",medicus
to aid,subvenio
dittany,dictamnus
youthful; pubescent,pubes
stalk,caulis
healthy,salubris
ambrosia,ambrosia
juice,sucus
sweet–scented,odorifer
an herb which cured all diseases; all–heal,panacea
to come forth; come about,provenio
to sip; kiss,delibo
grow up,adolesco
Osiris,Osiris
Arcetius,Arcetius
Epulo,Epulo
woman of masculine spirit; heroine,virago
Metiscus,Metiscus
the tongue or pole of a plow or cart; wagon,temo
to fly through or over,pervolo
swallow (bird),hirundo
food,esca
rapid,incitus
to turn one’s self,diverto
Sucro,Sucro
to cut off,abscido
Talos,Talos
Tanais (a male name),Tanais
Cethegus,Cethegus
Onites,Onites
of Echion; Echionian; Theban,Echionius
Peridia,Peridia
"to bring together, hire, rent",conduco
running down,decursus
to lay waste; ravage; ransack,populor
Murranus,Murranus
to tread down,proculco
Hyllus,Hyllus
Cupencus,Cupencus
an over–thrower,eversor
Lyrnesus,Lyrnesus
free from service,immunis
"it pleases, is pleasing (impersonal)",libet
"waxen, of wax",cereus
to fall; happen,accido
to attack,incesso
to tear asunder,discindo
Saces,Saces
to flash/strike like lightning,fulmino
to join together; p.,compingo
to indicate,significo
to hold back,inhibeo
Mt. Athos,Athos
Apennines,Appenninus
Sila,Sila
Taburnus,Taburnus
to command,imperito
to incline; go down,vergo
to shine brightly; glitter,resplendeo
Umbrian,Umber
to make answer; echo,responso
to ask urgently; demand,efflagito
to threaten,minitor
to weave again; (fig.),retexo
"vain, trivial",ludicer
the wild olive,oleaster
to open; loosen,discludo
Heroes elevated to gods after death,Indigetes
to swear by,adiuro
greatness; majesty,maiestas
Megaera,Megaera
incurable,immedicabilis
the dead of night; late at night,serum
to beat violently,everbero
numbness,torpor
"agreement, situation; status",condicio
to cover,contego
lawsuit; quarrel,lis
languid,languidus
attempt,conatus
to fall down; sink down,succido
pertaining to walls,muralis
din; thunder clap,crepitus
sevenfold,septemplex
to ward off (from one's self or others) by earnest prayer,deprecor
