English,Latin_Lemma
the art of painting; painting,pictura
to feed,pasco
"empty, void",inanis
ample,largus
to moisten,umecto
river,flumen
to wage war,bello
Pergamum (city),Pergama
by this way or route,hac
"Greek, of Greece",Graecus
"youth, young man",iuventus
Phryges,Phryges
"crested, plumed",cristatus
at a distance,procul
Rhesus,Rhesus
snowy,niveus
tent,tentorium
to lay waste,vasto
killing,caedes
camp,castra
feeding material; food,pabulum
to taste,gusto
The Xanthus or Scamander (river),Xanthus
to drink,bibo
Troilus,Troilus
"unfortunate, unhappy",infelix
"unequal, in unequal combat",impar
"to meet, engage",congredior
"to stick to, hang on to",haereo
bent back,resupinus
dust,pulvis
to write on,inscribo
spear,hasta
equal,aequus
hair,crinis
daughter of Ilium or Troy; pl.,Ilias
"to spread out, explain",pando
"mantle, robe",peplum
to beat,tundo
"turned away, from behind",aversus
to seize violently; drag,rapto
"breathless, lifeless",exanimus
to sell,vendo
certainly,vero
groaning; groan,gemitus
friendly (+dat.),amicus
unarmed,inermis
"chief, first",princeps
to mix completely,permisceo
belonging to the dawn; eastern,Eous
edge; line of battle,acies
"black, unlucky, wicked",niger
Memnon,Memnon
Amazonis,Amazonis
to bend like a halfmoon,luno
light crescent–shaped shield,pelta
Penthesilea,Penthesilea
"1000, 1000th",mille
"to burn, glow",ardeo
golden,aureus
to tie beneath; to bind under,subnecto
to thrust out; expose,exsero
girdle,cingulum
"the breast, ""momma""",mamma
