at rest,
free from exertion,
inactive,
in repose,quietus
show,ostendo
there,illic
rise again,
reappear,resurgo
harden,
endure,duro
care,
concern,cura
sick,aeger
hope,spes
expression,vultus
imitate,simulo
booty,
prey,praeda
gird on,accingo
feast,daps
about be,
future,futurus
tear apart or off,
snatch,diripio
rib,costa
innards,viscus
bare,
strip,nudo
part,
portion,pars
piece,frustum
cut,seco
spit,veru
tremble,tremo
fix,
fasten,figo
vessel,aenum
place,
put,loco
other,
another,alius
food,victus
grass,
herb,herba
fill in/up,impleo
Bacchus,Bacchus
fat,
dull,pinguis
of wild beasts,ferinus
take away,
remove,eximo
hunger,
famine,fames
table,mensa
move back,removeo
send away,
lose,amitto
conversation,sermo
seek,requiro
fear,
dread,
anxiety,metus
doubtful,dubius
whether,
or if,sive
live,vivo
trust,
believe,credo
farthest,
extreme,extremus
hear,exaudio
especially,
particularly,praecipue
dutiful,pius
sharp,
piercing,acer
Amycus,Amycus
groan,
sigh,gemo
unfeeling,
cruel,crudelis
Lycus (name),Lycus
Gyas,Gyas
Cloanthus,Cloanthus
look down upon,
despise,despicio
sail–covered,velivolus
fix,defigo
light,lumen
sad,tristis
tear,lacrima
pour from below,
pour through,
overspread,suffundo
shining,nitens
speak to,
address,alloquor
Venus (goddess),Venus
lightening,
thunderbolt,fulmen
terrify,terreo
join,
entrust,committo
funeral,
death,
dead body,funus
circle,
orb,orbis
without doubt,
certainly,certo
Teucer (Teucrus),Teucer
dominion,dicio
promise,polliceor
opinion,sententia
indeed,equidem
going down,
setting,
the west,occasus
console,solor
opposite,contrarius
make up for,
balance,rependo
same,idem
fortune,
chance,fortuna
Antenor,Antenor
slip away,elabor
Achaean,
Greek,Achivus
of the Illyrians,
tribes in Dalmatiand Albania,Illyrius
penetrate,penetro
nearer,
deeper,interior
of the Liburnians,Liburnus
spring,
fountain,fons
overcome,supero
the Timavus,Timavus
9,
9th,novem
go,eo
cause burst forth,
cast forth,prorumpo
nevertheless,
however,tamen
Patavium,Patavium
name,nomen
peace,
favor,pax
sleep,
keep quiet,quiesco
we,
us,nos
nod to,
with dat.,adnuo
not uttered,infandus
put forth,
betray,prodo
disjoin,disiungo
smile (down) upon,subrideo
planter sower begetter father founder,sator
make clear,
brighten,sereno
kiss,osculum
pour,
taste,libo
daughter,nata
spare (+ dat.),parco
Venus,
the Cytherean goddess,Cytherea
unmoved,
unchanged,
unrelenting,immotus
your friends,tui
discern,
separate,cerno
send forth,
let loose,
promise,promitto
Lavinium (town),Lavinium
elevated lofty heroic noble,sublimis
noble–spirited,magnanimus
when,
since,
some day (= si quando),quando
bite again and again,
(fig.),remordeo
secret,
mysterious,
hidden,arcanus
bold,
wild,ferox
beat crush bruise destroy,contundo
custom,mos
3rd,tertius
summer,aestas
3 each,terni
go across,transeo
Rutulus,Rutulus
winter quarters,hiberna
drive under,subigo
boy,
slave,puer
Ascanius,Ascanius
surname,cognomen
Julus,Iulus
give to,addo
Ilus,Ilus
stand,sto
of Ilium,
Ilian,
Trojan,Ilius
30,
30th,triginta
month,mensis
fill up,
fulfil,expleo
bring across,transfero
build,
fortify,munio
Alba,
AlbLonga,Alba
100,
100th,centum
of Hector,
Hectorean,Hectoreus
until,donec
priest,
priestess,sacerdos
birth,
offspring,partus
Ilia,Ilia
from there,
from then,inde
she–wolf,lupa
reddish or tawny yellow,fulvus
nurse,nutrix
means of covering,
skin,tegmen
Romulus,Romulus
receive,
take,excipio
pertaining Mavors or Mars,Mavortius
his/her/its own,suus
down from,
about,
concerning,de
limit,
goal,
boundary,
turning point,meta
time,tempus
introduces Relative Clause of Characteristic,
Doubting clause,
Prevention clause,quin
tire,
wear out,fatigo
plan,
council,consilium
master,dominus
wearing the toga,togatus
please,placeo
bog,
den (of animals),lustrum
glide,
slip (down),labor
age,aetas
Assaracus,Assaracus
Phthia,Phthia
clear,
distinguished,clarus
Mycenae,Mycenae
servitude,
slavery,servitium
lord or master,
rule,dominor
born,
come inbeing,nascor
origin,origo
Caesar (name),Caesar
the ocean,oceanus
rumor,
fame,fama
put bounds to,
limit,termino
star,astrum
of the gens Julia,
Julian,
of the month of July,Iulius
send down,
drop,demitto
plunder,spolium
the east,
the rising sun,Oriens
loaded,
laden,onustus
free from care,securus
vow,votum
become mellow,
become mild,mitesco
age,
generation,
people born at time,
mortal race,
century,saeculum
white,
of the hair and beard,canus
trust,
faith,fides
Vesta,Vesta
Remus,Remus
Quirinus,Quirinus
right,
justice,
law,ius
awful,
ill-omened,dirus
iron,ferrum
straitened,
narrow,artus
disloyal,impius
tie up,vincio
of bronze,
brazen,aenus
knot,nodus
rough,
uncouth,horridus
bloody,
blood–stained,cruentus
Maia,Maia
bring forth,gigno
new,novus
open,pateo
hospitality,hospitium
not,
in order that…not,
that…not,
that,ne
ignorant,nescius
Dido,Dido
air,aer
rowing,
oarage,remigium
wing,
armpit,ala
swift,citus
Phoenician,
Carthaginian,Poenus
wish,volo
especially,imprimis
kind,benignus
daylight,lux
giving nourishment,
blessed,almus
go forth,exeo
for,nam
uncared for,
neglected,
unshorn,incultus
wild animal,fera
seek,quaero
establish,
decide,constituo
precise,
scrupulous,exactus
convexity,
recess,convexum
hollow or scoop out,cavo
tree,arbor
cover,occulo
step,
walk,gradior
accompany,comitor
2 by 2,bini
wrinkle,
brandish,crispo
the shaft of spear,
spear,hastile
mother,mater
in the way,obvius
maiden,virgo
condition,
appearance,
style of dress,habitus
Spartan,Spartanus
or,vel
what sort,qualis
Thracian huntress,Threissa
Harpalyce,Harpalyce
flying,volucer
turn before,
preoccupy,praeverto
Hebrus,Hebrus
the upper arm,
shoulder,umerus
suited,habilis
hang,suspendo
huntress,venatrix
hair,coma
pour round about,diffundo
nude,
bare,nudus
knee,genu
flow,fluo
former,
previous,
prior,
first,
(+ abl. of comparison) superior to,prior
hi! hey!,heus
say,inquam
youth,iuvenis
show,
point out,monstro
gird beneath,
gird up,
wrap,succingo
quiver,pharetra
spotted,
speckled,maculosus
lynx,lynx
foam,spumo
wild boar,aper
son,filius
begin,ordior
not at all,
by no means,haud
mortal,mortalis
sound,sono
or,
whether,
if,an
Phoebus,Phoebus
fortunate,felix
our,
ours,noster
finally,tandem
teach,doceo
sacrificial animal,
victim,hostia
deem worthy of (+acc. and abl.),dignor
carry,
bear,gesto
purple,purpureus
aloft,
on high,alte
the calf of the leg,
the leg,sura
buskin,cothurnus
Punic,
Carthaginian,Punicus
Agenor,Agenor
Libyan,Libycus
that can not handled or managed,intractabilis
set forth,proficiscor
brother,germanus
flee,
escape,fugio
roundabout path,
circuitous route,
meandering,ambages
summit,fastigium
Sychaeus,Sychaeus
field,ager
Phoenices,Phoenices
wretched,
pitiable,miser
choose,
love,diligo
untouched,
unbroken,intactus
yoke,
(fig.),iugo
omen,omen
Tyre,Tyros
have,
hold,habeo
Pygmalion,Pygmalion
crime,scelus
gold,aurum
blind,caecus
secretly,clam
unguarded,
unsuspecting,incautus
having the same parents,
true,
real,germanus
deed,factum
for long time,diu
hide,celo
bad,
evil,malus
empty,vanus
play,
play with,ludo
loving,
fond,
(subst.) lover,amans
